Name	Reactants
rule0580	Any;FORMYL_ACCEPTOR_CoF
rule0581	Any;NAD_CoF;WATER
rule0582	NADH_CoF;Any
rule0583	Any;Any
rule0584	Any;WATER
rule0585	Any;WATER
rule0586	Any
rule0587	Any;WATER;O2
rule0588	Any;H2O2
rule0589	Any
rule0590	Any
rule0591	Any;Any
rule0592	Any;Any
rule0593	Reduced-Factor-F420_CoF;Any
rule0594	Any;Oxidized-Factor-F420_CoF
rule0595	HCl;Any
rule0596	Any;PPI
rule0597	Any
rule0598	Any;PPI
rule0599	Any;PPI
rule0600	Any
rule0601	Any;PPI
rule0602	WATER;Any
rule0603	Any
rule0604	Any;Any
rule0605	Any;WATER
rule0606	NADH_CoF;Any;CO2
rule0607	Any;Any
rule0608	Any;Pi
rule0609	Any;O2
rule0610	NADH_CoF;Any;Any
rule0611	Any;PPI
rule0612	Any
rule0613	CoA;Any
rule0614	Any
rule0615	Any;WATER
rule0616	Any;PPI
rule0617	Any
rule0618	Any;CO2;WATER;WATER
rule0619	Any;H2O2
rule0620	Any
rule0621	Any;WATER
rule0622	Any
rule0623	Any;Any
rule0624	Any
rule0625	Any;Any
rule0626	Any
rule0627	Any;WATER
rule0628	Any;Any;O2
rule0629	FAD_CoF;WATER;Any
rule0630	Any;FADH2_CoF;O2
rule0631	NADH_CoF;Any
rule0632	Any
rule0633	Any
rule0634	Any;Any
rule0635	Any;PPI
rule0636	CO2;Any
rule0637	Any
rule0638	WATER;Any
rule0639	Any;H2O2
rule0640	Any
rule0641	Any;WATER
rule0642	Any;PHOSPHATE_ACCEPTOR_CoF;Pi
rule0643	Any;Any;PHOSPHATE_DONOR_CoF
rule0644	Any;CO2
rule0645	Any
rule0646	Any;Any;PHOSPHATE_DONOR_CoF
rule0647	Any;PHOSPHATE_ACCEPTOR_CoF;Pi
rule0648	FAD_CoF;Any;Any;WATER
rule0649	Any;FADH2_CoF;O2
rule0650	Any;Any
rule0651	Any
rule0652	Any;H2O2
rule0653	Any;O2
rule0654	WATER;Any
rule0655	Any;H2O2
rule0656	NAD_CoF;WATER;Any
rule0657	Any;WATER
rule0658	Any
rule0659	Any;WATER
rule0660	Any
rule0661	Any;Any
rule0662	Any;O2
rule0663	Any;CO2;Any;WATER
rule0664	Any;Any;O2
rule0665	Any;PPI
rule0666	Any
rule0667	Any;WATER
rule0668	Any;Any
rule0669	Any;WATER
rule0670	Any
rule0671	Any;WATER
rule0672	Any
rule0673	Any;PPI
rule0674	Any
rule0675	Any;H2O2;H2O2
rule0676	Any;O2;O2
rule0677	Any;WATER;Ubiquinones_CoF
rule0678	Any;NADH_CoF
rule0679	NAD_CoF;Any
rule0680	NADH_CoF;Any
rule0681	Any;H2O2
rule0682	Any;O2
rule0683	Any;O2
rule0684	Any
rule0685	CO;Any
rule0686	Any;O2
rule0687	Any;NADH_CoF;O2
rule0688	NAD_CoF;Any
rule0689	Any;NAD_CoF;WATER
rule0690	Any;NADH_CoF;O2
rule0691	Any;NAD_CoF;WATER
rule0692	Any;Any;WATER
rule0693	Any;Any;O2
rule0694	CoA;Any;NAD_CoF;WATER
rule0695	Any;Any;NADH_CoF
rule0696	Any;FAD_CoF;WATER
rule0697	Any;FADH2_CoF
rule0698	Any;NAD_CoF;WATER;WATER
rule0699	Any;NADH_CoF;O2
rule0700	Any;NADH_CoF
rule0701	Any;NAD_CoF
rule0702	Reduced-Factor-F420_CoF;Any
rule0703	Any;Oxidized-Factor-F420_CoF
rule0704	NAD_CoF;Any;WATER
rule0705	NADH_CoF;Any
rule0706	Any;Any;NAD_CoF
rule0707	Any;NADH_CoF;CO2
rule0708	METHYL_ACCEPTOR_CoF;Any
rule0709	Any;METHYL_DONOR_CoF
