SMILES,ID
OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,445873Z01
CC1C(=O)OC2CC34[C@H]5C[C@@H](C(C)(C)C)[C@@]36C(OC(=O)[C@@H]6O)O[C@@]4(C(=O)O5)[C@]21O,445876Z01
CC1C(=O)OC2[C@@H](O)C34[C@H]5C[C@@H](C(C)(C)C)[C@@]36C(OC(=O)[C@@H]6O)O[C@@]4(C(=O)O5)[C@@]12O,445879Z01
CC1C(=O)OC2[C@@H](O)C34[C@@H]5OC(=O)[C@]3(OC3OC(=O)[C@H](O)[C@]34[C@H](C(C)(C)C)[C@H]5O)[C@@]12O,445882Z01
NOC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,445885Z01
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,445888Z01
O=P(O)(O)OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,445891Z01
N#CSNC(=N)N,445894Z01
C[C@H]1C2C(CC3C4CC[C@H]5C[C@@H](O)CCC5(C)C4CC(=O)C32C)O[C@]12CC[C@@H](C)CO2,445897Z01
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4OC)cc3O2)cc1OC,445900Z01
COC(=O)C1CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,445904Z01
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,445908Z01
C=C(C)C1CC=C(C)CC1,445912Z01
C=C[C@@](C)(O)CCC=C(C)C,445916Z01
C=CC(C)(CCC=C(C)C)OC(C)=O,445918Z01
O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21,445921Z01
OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,445926Z01
OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,445930Z01
CC1CCC(C(C)C)C(O)C1,445933Z01
O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,445937Z01
CN1CCCC1c1cccnc1,445940Z01
CC(C)=CC(=O)c1c(O)ccc2ccc(=O)oc12,445944Z01
COC(=O)[C@H](N)Cc1ccccc1,445948Z01
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,445951Z01
CN1Cc2cc3c(cc2CC(=O)c2cc4c(cc2C1)OCO4)OCO3,445954Z01
COc1cc(OCC=C(C)C)c2ccc(=O)oc2c1,445957Z01
